HotelName,HotelDescription,PriceRange
Premier Inn Abu Dhabi Capital Centre,"HOTEL: This hotel has a reception and a car park. SITUATION: It is in front ofAbu Dhabi the Exhibition Centre 15 minutes away from the establishment, clients can find the airport. ROOM: The establishment has 242 rooms with an air-conditioning system, internet, a television, a coffee maker, a kettle, a bathroom with a hairdryer and complimentary bathroom items. FACILITIES: Guests are offered a swimming pool and a gym. OTHERS: Regarding the food and beverage offering, clients have a buffet breakfast.",EUR 40 - EUR 80
Suite Laguna,"Suite Laguna hotel is in the city centre with the city hotel opportunities and holiday hotel opportunities. It is only 15 km. from Antalya International Airport, 900 m. from old city centre and world famous Yivli Minare and Kaleiçi, 350 m. from museum of Antalya where you can see the traces and signs of many civilizations lived in Antalya, 5 minutes by bus to the one of the most famous, longest and cleanest of he world Konyaalti Beach and 400 m. to the see.",EUR 25 - EUR 51
Hotel Sandy Beach (Formerly known as Orlov),"Orlov Hotel is near the beach of Albena, which is remarkable for its family-friendly five kilometre-long, 150 metre-wide beach with very fine and clean sand, as well as near the center of the resort. You can enjoy the pleasant and cozy atmosphere, contemporary facilities and excellent serviceOrlov Hotel was recently renovated. The hotel is a 7-foor building with 3 lifts. Every guest of the hotel can use the main restaurant with its air conditioned terrace, tavern, lobby bar, air-conditioned animation hall and outdoor swimming pool, which will satisfy the preferences of anyone.",EUR 148 - EUR 297
Domomea,"EPS Location 1 and 2 With a stay at Hotel Domomea in Alghero, you'll be near the beach, within a 15-minute drive of Maria Pia Beach and Alghero City Hall. This 4-star hotel is 0.3 miRefundable",EUR 69 - EUR 138
Ikaros Hotel,"EPS Location 1 and 2 Located in Athens (Athens City Centre), Ikaros Hotel is within a 10-minute walk of Omonia Square and National Archaeological Museum of Athens. This hotel is 0.7Refundable",EUR 27 - EUR 54
Yotel Amsterdam,"YOTEL Amsterdam features a restaurant, fitness centre, a bar and garden in Amsterdam. This 4-star hotel offers a 24-hour front desk and luggage storage space. Free WiFi is available and private parking can be arranged at an extra charge. At the hotel, each room includes a desk, a flat-screen TV and a private bathroom. Guests at YOTEL Amsterdam can enjoy a continental or a buffet breakfast. The accommodation offers a terrace. A'DAM Lookout is 1 km from YOTEL Amsterdam, while Rembrandt House is 5 km away. The nearest airport is Schiphol Airport, 27 km from the hotel.WiFi is available in all areas and is free of charge. Private parking is possible on site (reservation is not possible) and charges may be applicable. Pets are not allowed. All children are welcome. One child under 2 years stays free of charge in a child's cot/crib. All children under 12 years stay free of charge when using existing beds. There is no capacity for extra beds in the room. The maximum number of total guests in a room is 4. The maximum number of children's cots/cribs in a room is 1.",EUR 59 - EUR 118
Das Alpenhaus Gasteinertal,"Property Location With a stay at Das Alpenhaus Gasteinertal, you'll be centrally located in Bad Hofgastein, steps from Gastein Ski Resort and 4 minutes by foot from AlpenthermeNonrefundable",EUR 195 - EUR 390
Soleo Guest Rooms,"Located in Balchik and with Balchik Central Beach reachable within an 8-minute walk, Guest Rooms Soleo has express check-in and check-out, non-smoking rooms, a garden, free WiFi and barbecue facilities. Featuring family rooms, this property also provides guests with a playground. The property is 2.1 miles from Botanic Garden Balchik. Guest rooms has air conditioning, a flat-screen TV with cable channels, a microwave, an electric tea pot, a shower, a hairdryer and a desk. The guesthouse provides certain rooms that include a patio and garden view, and each room is equipped with a private bathroom and a closet. All rooms will provide guests with a fridge. The Palace Beach is a 20-minute walk from Guest Rooms Soleo, while The Palace of Queen Maria is 2 miles away. The nearest airport is Varna, 30 miles from the accommodation, and the property offers a paid airport shuttle service.WiFi is available in the hotel rooms and is free of charge. Free public parking is available on site (reservation is not needed). Pets are not allowed. All children are welcome. One child under 4 years stays free of charge when using existing beds. There is no capacity for extra beds in the room. The",EUR 23 - EUR 46
Acropolis Cozy Place,"Property Location Located in Athens (Athens City Centre), this apartment is a 3-minute walk from Acropolis Museum and 7 minutes by foot from Temple of Olympian Zeus. This apartmentNonrefundable",EUR 28 - EUR 57
Rivulus Apartament,"Property Location Located in Baia Mare, this apartment is within a 5-minute drive of Mineralogical Museum and Monument of the Heros. This apartment is 1.6 mi (2.6 km) from County",EUR 41 - EUR 82
Pearl Rotana Capital Centre,"Located at the heart of Abu Dhabi's business district, the Pearl Rotana Capital Centre is a modern deluxe hotel. The Abu Dhabi National Exhibition Centre (ADNEC) is just steps from the 4-star property, while the city's Downtown and Yas Island are a short drive away. Pearl Rotana is just 20 minutes from Abu Dhabi International Airport. Pearl Rotana's 315 rooms and suites have been designed to suit the needs of business, leisure travellers and families alike. Featuring one and two-bedroom options, Club Rotana rooms offer added benefits including complimentary access to the Club Rotana lounge.From the date of: 31/05/2016 City Tax payable directly at the hotel.",EUR 82 - EUR 164
Residenz Gruber,"Grubers Residenz is located in Böckstein, only a 5-minute drive away from Bad Gastein ski area and 11-minute drive from Sportgastein. WiFi access in the entire property and parking are available free of charge. The spa area was completely renovated in 2011 and now features a sauna, infrared cabin and relaxation area with sandy beach feeling. Massages can be arranged upon request and a surcharge. Residenz Grubers offers a well-appointed fitness room, and a 24-hours self-service café. In the morning a rich breakfast buffet is served, and a take-away pizza service is provided on site. For children a playground and a games room with table football and billiards are available. Guests can relax in the garden fitted with a terrace, sun beds and lounge areas. The bus stop providing connections to Bad Gastein‘ healing radon galleries and the free ski bus is only 591 feet away from Grubers Residenz. The spa centers of Felsentherme, 1.9 mi away and Alpentherme, 7.5 mi away are also reachable by bus.WiFi is available in all areas and is free of charge. Free private parking is available on site (reservation is not needed). Pets are allowed. No extra charges. All children are welcome. Up to",EUR 66 - EUR 132
Butiks,"Property Location Located in Antalya (Altınkum Mahallesi), Butiks Hotel is within a 10-minute drive of Glass Pyramid Congress and Exhibition Centre and Antalya Aquarium. This hotel is 3 mi (4.9 km) from Antalya Archeological Museum and 4.9 mi (7.8 km) from Clock Tower. Rooms Make yourself at home in one of the 22 air-conditioned rooms featuring minibars and LCD televisions. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Private bathrooms with showers feature complimentary toiletries and hair dryers. Conveniences include desks, housekeeping is provided daily, and cribs/infant beds (complimentary) can be requested. Amenities Take advantage of recreation opportunities such as an outdoor pool or take in the view from a rooftop terrace and a garden. Additional amenities at this hotel include complimentary wireless Internet access and concierge services. Dining Take advantage of the hotel's 24-hour room service. Unwind at the end of the day with a drink at the bar/lounge or the poolside bar. Breakfast is available for a fee. Business, Other Amenities Featured amenities include complimentary newspapers in the lobby, dry cleaning/laundry services, and a 24-hour front desk. A roundtrip airport shuttle is provided for a surcharge (available 24 hours), and free",EUR 29 - EUR 59
Napa Prince Apartments,"EPS Location 1 and 2 With a stay at Napa Prince Hotel Apartments, you'll be centrally located in Ayia Napa, within a 5-minute drive of Nissi Beach and Ayia Napa Monastery. ThisNonrefundable",EUR 56 - EUR 113
Perunika,"This hotel is located just 150 metres from the sandy beach. The centre with the pedestrianised zone and nightclubs is within 200 metres, just a few minutes away on foot. Links to the public transport network are to be found just 50 metres from the hotel.Built in 2004, this hotel enjoys pretty gardens and a total of 160 rooms and 10 suites spread over 6 floors. There is a lobby with a 24-hour reception, 2 lifts and a safe. Further facilities include an air-conditioned à la carte restaurant, a bar, a shop, a hairdresser's salon, a TV room and an Internet terminal. In addition, there is a car park and garage for those guests arriving at the hotel by car.The welcoming rooms all comprise an en suite bathroom Internet access, a direct dial telephone, minibar/ fridge and a hire safe.The hotel features a swimming pool and a children's paddling area. There is a gym, a sauna, a massage service, sun loungers and parasols all available for guests' use (at an additional fee) and table tennis, pool and snooker may be played. Various other water sports are on offer on the beach.Hotel's main restaurant with capacity of 150 seats with its",EUR 39 - EUR 78
Pavlo Napa Beach,"LocationThis hotel is located right by a pretty sandy bay. The centre of Ayia Napa, with its shopping facilities, bars, cafés, restaurants and nightclubs lies only around 2 km away and is comfortably reached by public transport. A stop for public transport is located just 50 m away. Lunapark, the old monastery and the city museum are only roughly 2km away, the water park is around 3.5km away. Paralimna is some 10 km away and transfer to the airport takes about 40 minutes.FacilitiesGuests have a choice of 147 rooms, including 140 double rooms, located in a 4-storey main building and a 3-storey auxiliary building. At this hotel, which includes a lift, guests are warmly welcomed by the English- and German-speaking staff. A check-in/check-out service is available at the 24-hour reception desk in the lobby round the clock. Services include a currency exchange service. Wireless internet access allows guests to stay connected while on holiday. The grounds of the hotel feature a playground and a lovely garden. Additional facilities include a TV room. Guests arriving by car can park their vehicles in the car park. Further services and facilities include a babysitting service (for a fee), a childcare service, room service",EUR 105 - EUR 211
Lara,"This air-conditioned city hotel has a total of 72 rooms and is located on the cliffs above the Mediterranean Sea, 9 km from the city centre. Amongst the features of the hotel is a sun-bathing platform with access to the sea. Additionally, there is free Internet access, a restaurant with indoor and outdoor seating, a snack bar and lobby bar. Meeting and banqueting facilities are also available. Besides private beach as platform available . Also there is Turkish traditional wedding at the weekend in summer.",EUR 59 - EUR 119
Kristal,"AddressGolden SandsLocationKristal hotel is located in the central part of the resort Golden Sands at about 450 meters from the beach in a lovely park with rich verdure, sweeps of grass and places for quiet and pleasant repose.RoomsKristal hotel has 296 rooms. Each room is pleasantly furnished. They have air-conditioner, sat TV, telephone, mini-bar, extending armchair. The bathrooms are with shower and hair-dryer. Each room has terrace with furnitureBars & RestaurantsA restaurant where the dishes are served on a buffet, fast-food restaurant, cocktail bar and large and cozy lobby bar are waiting for you.Sport ServicesThere are open-air swimming pool on three levels with children’s section, fitness hall, tennis-court – artificial grass, mini-football, mini-golf, table-tennis, darts and others. Kids’ club with children’s playground is provided for the children. The hotel has also rehabilitation center /Wellness center/ with indoor swimming pool with warming and jacuzzi, multifunctional bathtubs, mud-therapy, relax and health procedures.Hotel ServicesAt your disposal are wellness center, shop for goods and souvenirs, currency exchange, spacious foyer, internet-game hall, billiards, beauty parlour and hairdresser’s, massage and vapour bath.",EUR 49 - EUR 99
St George Lycabettus,"The St George Lycabettus Hotel's prime location nestled against the pine-forested slopes of Lycabettus Hill affords breath-taking panoramic views over the city to the Acropolis and the Saronic Gulf beyond, yet also offers proximity to the pulsing heart of Athens, just steps away from Kolonaki's alluring shops, museums, galleries and eateries.The St George Lycabettus offers 154 contemporary bedrooms and suites, carefully designed for ultimate comfort and relaxation. Your best choice in hotel accommodation in Athens for your stay in the city.From the date of: 31/12/2017 Service Tax payable directly at the hotel.From the date of: 01/11/2018 City Tax payable directly at the hotel.",EUR 0 - EUR 0
SHERWOOD SUITES RESORT,"Location This all-inclusive resort is located in Antalya (Lara), close to Antalium Premium Mall, Lara Beach and Butterfly Park Antalya. Area attractions also include Tat Golf Belek and National Golf Club. Resort features Along with a full-service spa, this smoke-free resort has a restaurant and an indoor pool. Free buffet breakfast, free WiFi in public areas and free self parking are also provided. Other amenities include an outdoor pool, a 24-hour fitness centre and a bar/lounge. Room amenities All 210 rooms offer free WiFi, balconies and LCD TVs with satellite channels. Guests will also find 24-hour room service, minibars and rainfall showerheads.",EUR 122 - EUR 244
Twenty,"With a stay at Hotel Twenty, you'll be centrally located in Antalya, steps from Clock Tower and 5 minutes by foot from Antalya Bazaar. This bed & breakfast is 7.3 mi (11.8 km) from Lara Beach and 3.8 mi (6.2 km) from Shemall Shopping Center.",EUR 16 - EUR 33
Orchidea Boutique Spa,"This 4-star spa hotel was opened in 2007 and enjoys a very privileged location, where you can take in the sea breeze as well as the forests freshness. Just 400 metres away from the shore, at the beginning of Golden Sands Resort, this exquisite hotel offers you elegant rooms and a wealth of spa facilities for a stay of utmost pleasure and relaxation.",EUR 990226 - EUR 1980452
Cozy Apartment In Central Athens,"Property Desc:Property Location With a stay at this apartment in Kaisariani, you'll be within a 15-minute drive of Syntagma Square and Acropolis Museum. This apartment is 2.6 mi (4.1 km) from Acropolis and 2.7 mi (4.4 km) from Parthenon.Rooms Make yourself comfortable in this air-conditioned apartment, featuring a kitchen with a refrigerator and an oven. Complimentary wireless Internet access keeps you connected, and a flat-screen television is provided for your entertainment. Conveniences include a coffee/tea maker and a washing machine, and you can also request a crib/infant bed (complimentary).Attractions Distances are displayed to the nearest 0.1 mile and kilometer. Athens National Gallery - 1.1 km / 0.7 mi National Museum of Contemporary Art - 1.4 km / 0.9 mi Byzantine and Christian Museum - 1.6 km / 1 mi Athens Concert Hall - 1.6 km / 1 mi U.S. Embassy - 1.6 km / 1 mi Mavili Square - 1.8 km / 1.1 mi Presidential Mansion - 1.9 km / 1.2 mi Benaki Museum - 2 km / 1.2 mi Athens National Garden - 2 km / 1.3 mi Panathenaic Stadium - 2.2 km / 1.3 mi National and Kapodistrian University of Athens - 2.2 km / 1.3 mi Tomb",EUR 23 - EUR 47
Athenian Modern Apartment Mavili Square,"EPS Location 1 and 2 With a stay at this apartment in Athens (Athens City Centre), you'll be within a 5-minute drive of Syntagma Square and Acropolis Museum. This apartment is 2.3 miNonrefundable",EUR 29 - EUR 58
My Athens Hotel,"General The My Athens Hotel offers 28 comfortable rooms. All rooms are equipped with cable / satellite, kettle, iron and ironing board, desk, Internet / Wi-Fi access and a private bathroom with hairdryer. It offers non-smoking rooms. The hotel includes a dining room which serves breakfasts daily and a bar at the top of the hotel which serves various drinks. Also note the room service, 24-hour reception service, laundry service, elevator and tourist information.Localization Description The My Athens Hotel is located in the center of Athens, near the Plaka and Syntagma Square. From the Athens International Airport to the hotel is 44 km.Policies Check-In: 14h00, Check-Out: 12h00, Children Accepted, Credit Cards AcceptedAdditional Info Total Rooms: 28Hotel Facilities Restaurant, Bar/Coffee Shop, Reception: 24h00, Laundry, Tourist Information Point, Wi-FiHow To Arrive Route plan from the airport and the hotel: https://www.google.pt/maps/dir/Aeroporto+Internacional+de+Atenas,+Attiki+Odos,+Spata+Artemida+190+04,+Gr%C3%A9cia/-4%E3%80%81+%E5%B8%8C%E8%87%98,+My+Athens+Hotel,+Keramikou+2,+Athina+104+37,+Gr%C3%A9cia/@37.9807506,23.7701461,12z/data=!4m13!4m12!1m5!1m1!1s0x14a1901ad9e75c61:0x38b215df0aeeb3aa!2m2!1d23.9484156!2d37.9356467!1m5!1m1!1s0x14a1bd2590526a01:0x8ed6cfda090f606!2m2!1d23.7236928!2d37.9838635?hl=en-ENPoints Of Interest City Centre (350 m), Shopping Area (83 m), Restaurants/Bars (50 m), Nightlife Area (400 m), Airport: 44 km Athens International Airport - , Subway Station (350 m), Commuter Railway Station (1 km), Inter-City Railway Station (1 km), Local Bus Station (140 m), Intercity Bus Station (140 m), Nearest City: 9 km – Pireas - , Trade Fair Facilities (4 km)Room",EUR 32 - EUR 65
FAROS 1,HOTEL: The establishment has a reception and a baggage room. SITUATION: The hotel is in Pireo the centre of It has excellent transport links to the harbour and the railway station.,EUR 36 - EUR 72
OTEL SAMI,,EUR 0 - EUR 0
Gran Senyiur,"Property Location Located in Balikpapan, Gran Senyiur Hotel is within a 15-minute walk of Bekapai Garden and Plaza Balikpapan. This 4-star hotel is 1 mi (1.6 km) from Kemala Beach",EUR 0 - EUR 0
Novotel Amsterdam City,"General The Novotel Amsterdam City Hotel has 611 rooms, including 1 suite and 2 accessible rooms. All rooms are equipped with audible smoke alarms, safe deposit box, minibar, wireless Internet access, air conditioning and satellite/cable TV. Pets accepted. At the hotel you may also find 24 h security staff, ramp access, gift and newspaper shop, reduced mobility facilities, wireless Internet access, concierge, cash machine, shoe shine machine, dry cleaning and ironing service, safe deposit box at reception, currency exchange and smoke alarm in public areas.Localization Description The Novotel Amsterdam City Hotel is located in the heart of Amsterdam's business district, right by the Amsterdam RAI Exhibition and Convention Center and close to the WTC.Policies Check-In: 14h00, Check-Out: 12h00, Children Accepted, Pets Accepted, Credit Cards AcceptedAdditional Info Total Rooms: 611, Suites: 1, Disabled Rooms: 2Hotel Facilities Reception: 24 h, Room Service, Laundry, Ironing, Exchange, Internet, Restaurant, Bar/Coffee Shop, Safe, ShoppingHow To Arrive Route plan from Amsterdam Schiphol International Airport to the hotel: http://maps.google.com/maps?f=d&source=s_d&saddr=52.308056++4.764167&daddr=52.333911+++4.889678&hl=en&geocode=FVgoHgMdB7JIAA%3B&mra=ls&sll=52.339325,4.819565&sspn=0.101107,0.22007&ie=UTF8&ll=52.321071,4.821281&spn=0.101148,0.22007&t=h&z=12Points Of Interest City Centre (10 km), Shopping Area (5 km), Restaurants/Bars (3 km), Airport: Amsterdam Schiphol International Airport (13 km), Subway Station (200 m), Commuter Railway Station (200 m), Local Bus Station (100 m), Nearest City: 74 km",EUR 133 - EUR 266
Dar Tlidjen,"Dar Tlidjene Hotel is perfectly located for both business and leisure guests in Algiers. Featuring a complete list of amenities, guests will find their stay at the property a comfortable one. To be found at the hotel are free Wi-Fi in all rooms, 24-hour room service, facilities for disabled guests, Wi-Fi in public areas, valet parking. Television LCD/plasma screen, internet access – wireless, internet access – wireless (complimentary), non smoking rooms, air conditioning can be found in selected guestrooms. The hotel offers various recreational opportunities. Convenience and comfort makes Dar Tlidjene Hotel the perfect choice for your stay in Algiers. Guests over 4 years old are considered as adults.",EUR 33 - EUR 67
Alron,"Make yourself at home in one of the 89 air-conditioned rooms featuring LCD televisions. Your Select Comfort bed comes with premium bedding. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with showers feature complimentary toiletries and hair dryers.Enjoy a meal at the restaurant or snacks in the coffee shop/café. The hotel also offers room service (during limited hours).Featured amenities include a business center, dry cleaning/laundry services, and a 24-hour front desk. A roundtrip airport shuttle is provided for a surcharge (available 24 hours).A stay at Alron Hotel places you in the heart of Kuta, within a 15-minute walk of Kuta Beach and Kuta Square. This family-friendly hotel is 0.7 mi (1.1 km) from Bali Bombing Memorial and 0.8 mi (1.3 km) from Waterbom Bali.Distances are displayed to the nearest 0.1 mile and kilometer. Mall Bali Galeria - 0.8 km / 0.5 mi Kuta Square - 0.9 km / 0.6 mi Kuta Art Market - 0.9 km / 0.6 mi Poppies Lane II - 1 km / 0.6 mi Bali Bombing Memorial - 1.1 km / 0.7 mi Kuta Beach - 1.1 km / 0.7 mi BIMC Hospital - 1.2 km /",EUR 0 - EUR 0
Liwan,"Property Location A stay at Liwan Hotel places you in the heart of Amman, steps from Al Baraka Mall and close to Jordan Gate Towers. This hotel is within close proximity of Abdoun Mall and Abdoun Bridge.Rooms Make yourself at home in one of the 77 air-conditioned rooms featuring free minibar items. Wireless Internet access (surcharge) keeps you connected, and satellite programming is available for your entertainment. Private bathrooms with bathtubs or showers feature complimentary toiletries and hair dryers. Conveniences include safes and desks, and housekeeping is provided daily.Rec, Spa, Premium Amenities Take in the views from a rooftop terrace and make use of amenities such as wireless Internet access (surcharge) and a hair salon. This hotel also features shopping on site, a television in the lobby, and tour/ticket assistance.Dining Grab a bite at one of the hotel's 2 restaurants, or stay in and take advantage of 24-hour room service. Relax with a refreshing drink at one of the 2 bars/lounges. A complimentary buffet breakfast is served daily.Business, Other Amenities Featured amenities include limo/town car service, express check-in, and express check-out. A roundtrip airport shuttle is provided for a surcharge (available on request).",EUR 46 - EUR 92
Delphin Imperial,"Property Desc:Property Location With a stay at Delphin Imperial - All Inclusive, you'll be centrally located in Antalya, just a 3-minute walk from Lara Beach and 11 minutes by foot from Antalium Premium Mall. This 5-star hotel is 9.6 mi (15.5 km) from The Land of Legends and 7.6 mi (12.2 km) from Shemall Shopping Center.Rooms Make yourself at home in one of the 650 air-conditioned rooms featuring minibars and LED televisions. Rooms have private balconies. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Private bathrooms with showers feature complimentary toiletries and bidets.Amenities Pamper yourself with a visit to the spa, which offers massages, body treatments, and facials. After dipping into one of the 3 outdoor swimming pools, you can spend some time at the private beach. This hotel also features complimentary wireless Internet access, an arcade/game room, and a hair salon. Getting to nearby attractions is a breeze with the complimentary area shuttle.Dining All-inclusive rates are available at this hotel. Meals and beverages at onsite dining establishments are included in all-inclusive rates. Charges may be applied for dining at some restaurants, special dinners and dishes, some beverages, and other amenities. Grab a",EUR 159 - EUR 318
Kompas,"Renovated in 2008, this hotel offers guests tranquillity and hospitality and comprises a total of 169 rooms in a 3-storey building, with accommodation for smokers and non-smokers. The hotel is surrounded by green trees, and is a great place for a family holiday. Facilities on offer to guests at this air-conditioned establishment include a lobby area with a 24-hour reception and check-out service, a currency exchange facility, a newspaper stand, a lobby bar and a TV lounge. It also offers a restaurant and WLAN/Internet access (charges apply) and guests can take advantage of the laundry service for an additional fee. There is parking (charges apply) for those arriving by car, and for the younger guests there is a kids club and a childrens playground.",EUR 32 - EUR 64
Palais Des Roses,"This luxurious beach hotel enjoys a prime setting in the tourist city of Agadir. The hotel is located a mere 100 metres away from the stunning beach, offering guests the opportunity to enjoy an indulgent, relaxing retreat. Guests will find the town centre and its selection of restaurants, shops, pubs and an exciting nightlife scene within 500 metres of the hotel, while the old town is located a mere 1. 5 kms away. This stunning hotel greets guests with an awe-inspiring architectural style. The hotel affords guests an array of exceptional facilities which are sure to surpass the expectations of even the most discerning traveller. The guest rooms and suites are luxuriously appointed, offering relaxing surroundings in which to completely unwind.",EUR 34 - EUR 69
AKRA HOTEL,Hotel Website: http://www.baruthotels.com,EUR 96 - EUR 192
AMBASSADOR,"LocationThe hotel is located 50 metres from the beach in the southern part of Golden Sands. The hotel is situated approximately 125 km from Bourgas Airport. Plovdiv Airport is approximately 400 km from the hotel and Varna Airport is approximately 17 km away.Facilities195 rooms, including 5 apartments, studios, 7 single rooms and 182 double rooms, are located on 4 storeys and can be reached by lift. The friendly staff at the reception desk in the lobby are happy to answer any questions. The hotel provides a safe, a newspaper stand, medical assistance, a laundry service and a hairdresser. Wireless internet access is provided in public areas. There are a number of shops, including a supermarket. The grounds of the hotel feature a playground and a lovely garden. Guests arriving by car can park their vehicles in the car park.RoomsAir conditioning ensures that rooms maintain comfortable temperatures. Guests can enjoy the sea view from a balcony or terrace. Valuables can be securely stored in a safe. Additional features include a refrigerator and a mini fridge. Internet access, a direct dial telephone and a television with satellite/cable channels provide all the essentials for a comfortable holiday. A hairdryer and bathrobes are available",EUR 0 - EUR 0
Damlatas Elegant,"Located a 10-minute walk from Alanya’s centre, this apartment hotel offers accommodation with a private balcony. It has an outdoor pool surrounded by sun loungers. The apartments at the Damlatas Elegant Apart Hotel overlook the pool or mountains. They are decorated in warm colours. The One-Bedroom Apartment includes a fully equipped kitchenette and a seating area. Guests of the Damlatas can enjoy rich local cuisine at the à la carte restaurant, which serves meals in casual surroundings. There is also a bar serving refreshing drinks and light snacks. Room service is available. The hotel is just 1 block from Atatürk Avenue. It offers an airport shuttle and free parking on site.WiFi is available in all areas and is free of charge. Free public parking is possible on site (reservation is not needed). Pets are not allowed. All children are welcome. Up to two children under 5 years stay free of charge for extra beds. Up to two children under 7 years stay free of charge when using existing beds. One child under 1 year stays free of charge in a child's cot/crib. Up to two older children or adults are charged EUR 5 per night for extra beds. The maximum",EUR 0 - EUR 0
Tropen,"Amsterdam Tropen Hotel is situated next to the Oosterpark, which connects the hotel to the energetic city center, the tranquility of the park and the Royal Tropical Institute (KIT). KIT is an international knowledge hub; a gateway for the ideas of tomorrow, where knowledge in the field of sustainable and intercultural cooperation are shared. The KIT bursts with inspiration and renewal. Visit Amsterdam Tropen Hotel and experience the tranquility in the middle of the swirling city of Amsterdam. We welcome you with open arms. visit Amsterdam Tropen Hotel and the Grand café De Tropen, and you will contribute to the objectives of KIT. The proceeds will benefit the projects of KIT.",EUR 0 - EUR 0
Rio Gardens,"LocationCentrally located in Ayia Napa, this apartment hotel is about 1 km from the sandy beach.FacilitiesThe friendly staff at the reception desk in the lobby are happy to answer any questions. Services and facilities include a safe, a currency exchange service, a car hire service, medical assistance, a laundry service and a smoke alarm. Wireless internet access allows guests to stay connected while on holiday. There are a number of shops, including a supermarket. A garden provides extra space for rest and relaxation in the open air. Guests arriving by car can park their vehicles in the car park. Services include a hotel shuttle bus. Active guests can make use of the bicycle hire service (for a fee) to explore the surrounding area.RoomsAir conditioning and central heating ensure that rooms maintain comfortable temperatures. A balcony is included as standard in some rooms. Extra beds can be requested. A safe provides secure storage for guests' personal property. There is a fully-equipped kitchenette with a refrigerator, mini fridge, stovetop and tea/coffee station. A telephone, a TV and WiFi are provided as well. Bathrooms include a hairdryer and are equipped with a shower and a bathtub. Cosmetic products ensure additional comfort.Sports/EntertainmentThe outdoor pool",EUR 34 - EUR 69
Silver Hotel Conference amp; Spa (Superior),"Property Location A stay at Silver Hotel Conference and Spa places you in the heart of Oradea, convenient to Cris Museum and Ady Endre Museum. This 4-star hotel is within close proximity of Fortress of Oradea and Roman Catholic Basilica.Rooms Make yourself at home in one of the 31 air-conditioned rooms featuring minibars and LCD televisions. Complimentary wireless Internet access is available to keep you connected. Private bathrooms with showers feature hair dryers and slippers. Conveniences include phones, as well as safes and desks.Rec, Spa, Premium Amenities Take advantage of recreational opportunities offered, including a spa tub, a sauna, and a fitness center. Additional features include complimentary wireless Internet access, wedding services, and a television in the lobby.Dining Enjoy a meal at a restaurant, or stay in and take advantage of the hotels room service during limited hours.Business, Other Amenities Featured amenities include express check-in, express check-out, and complimentary newspapers in the lobby. This hotel has 2 meeting rooms available for events. A roundtrip airport shuttle is provided for a surcharge available on request, and free self parking is available onsite.",EUR 62 - EUR 125
Beursstraat,"Located conveniently in the Amsterdam City Center district of Amsterdam, Hotel Ben Centre is located a 6-minute walk from Basilica of St. Nicholas, 600 yards from Museum Ons' Lieve Heer op Solder and a 14-minute walk from Dam Square. With free WiFi, this 1-star hotel offers a 24-hour front desk and luggage storage space. Dutch National Opera & Ballet is 1.4 miles away and Flower Market is 1.5 miles from the hotel. Beurs van Berlage is an 18-minute walk from the hotel, while Rembrandt House is 1.4 miles from the property. The nearest airport is Schiphol Airport, 11 miles from Hotel Ben Centre.WiFi is available in the hotel rooms and is free of charge. No parking available. Pets are not allowed. All children are welcome. There is no capacity for extra beds in the room. The maximum number of total guests in a room is 5. There is no capacity for cribs in the room.",EUR 31 - EUR 63
Bandb Palazzo Montesanto,"Property Desc:Property Location Located in Maiori, B&B Palazzo Montesanto is within a 15-minute drive of Amalfi Beach and Maiori Beach. This beach bed & breakfast is 20.7 mi (33.3 km) from Pompeii Archaeological Park and 0.1 mi (0.1 km) from Sorrento Peninsula.Rooms Make yourself at home in one of the 4 air-conditioned rooms featuring minibars and flat-screen televisions. Complimentary wireless Internet access keeps you connected, and digital programming is available for your entertainment. Bathrooms have showers and complimentary toiletries. Conveniences include safes and desks, and housekeeping is provided on a limited basis.Amenities Make use of convenient amenities, which include complimentary wireless Internet access and concierge services.Dining A complimentary continental breakfast is included.Business, Other Amenities Featured amenities include complimentary newspapers in the lobby, dry cleaning/laundry services, and luggage storage. Free self parking is available onsite.Attractions Distances are displayed to the nearest 0.1 mile and kilometer. Sorrento Peninsula - 0.1 km / 0.1 mi Maiori Beach - 0.1 km / 0.1 mi Minori Beach - 1.4 km / 0.9 mi St. Trofimena Cathedral - 1.8 km / 1.1 mi Villa Romana - 1.9 km / 1.2 mi St. Lucia's Church - 2.1 km / 1.3 mi Chapel of San Pantaleone (Cappella di",EUR 0 - EUR 0
Retaj,"Property Location With a stay at Retaj Hotel in Amman, you'll be within a 10-minute drive of Amman Roman Theater and Embassy of Bangladesh. This hotel is 0.8 mi (1.2 km) from Embassy",EUR 59 - EUR 118
Galini Apartments,,EUR 0 - EUR 0
